_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7d1b,c22837c5-4e13-43e8-a690-a5639bc0b882,PS110-000262,ПС 110 кВ Шелаболихинская,ПС 110 кВ Шелаболихинская,Substation
65a2361a96b9132bd04d7d1c,c22df109-c04a-4d2f-b776-b4776054105b,PS110-000010,ПС 110 кВ Завод,ПС 110 кВ Завод,Substation
65a2361a96b9132bd04d7d1d,c2ab88f3-5af8-4a17-82e4-7b63dc2ee681,PS110-000324,ПС 110 кВ Тасеево,ПС 110 кВ Тасеево,Substation
65a2361a96b9132bd04d7d1e,c31180b4-38f1-42ef-9356-365699c9ed94,PS110-000376,ПС 110 кВ Центральная,ПС 110 кВ Центральная (КЭС),Substation
65a2361a96b9132bd04d7d1f,c41e9545-3a5a-4780-a119-ff04c7745ece,PS110-000340,ПС 110 кВ Подсосенская,ПС 110 кВ Подсосенская,Substation
65a2361a96b9132bd04d7d20,c424de51-5f3e-4210-9750-10fdf8439df0,PS110-000191,ПС 110 кВ Верх-Суетская,ПС 110 кВ Верх-Суетская,Substation
65a2361a96b9132bd04d7d21,c4324438-ab7c-4b31-8b72-7a4d98d7b5fa,PS110-000423,ПС 110 кВ Каптыревская,ПС 110 кВ Каптыревская,Substation
65a2361a96b9132bd04d7d22,c4d3e2bc-a9da-42ee-97d7-5629b8055dd7,PS110-000205,ПС 110 кВ Мышкинская,ПС 110 кВ Мышкинская,Substation
65a2361a96b9132bd04d7d23,c5845c2f-ea0c-435f-9799-3e562db2aa11,PS110-000185,ПС 110 кВ Тишинская,ПС 110 кВ Тишинская,Substation
65a2361a96b9132bd04d7d24,c5b3c6bf-7719-407c-8b55-88c298e184f1,PS110-000479,ПС 110 кВ Очистная,ПС 110 кВ Очистная,Substation
65a2361a96b9132bd04d7d25,c6d0e4ae-9911-4caa-b3a1-7c3568f2d21c,PS110-001377,ПС 110 кВ Северная (А),ПС 110 кВ Северная,Substation
65a2361a96b9132bd04d7d26,c7458579-40eb-41a5-97f9-541791f712e8,PS110-000377,ПС 110 кВ Юбилейная,ПС 110 кВ Юбилейная,Substation
65a2361a96b9132bd04d7d27,c78dcdba-6923-40dd-a34a-4c01f50825b8,PS110-000437,ПС 110 кВ Карабула,ПС 110 кВ Карабула,Substation
65a2361a96b9132bd04d7d28,c87095f9-0e30-40b7-bf22-6687e6fe5f98,PS110-000187,ПС 110 кВ Угловская,ПС 110 кВ Угловская,Substation
65a2361a96b9132bd04d7d29,c934b7f0-c82c-4231-9cb7-a4e22bf7ee05,PS110-000130,ПС 110 кВ Куяганская,ПС 110 кВ Куяганская,Substation
65a2361a96b9132bd04d7d2a,ca63429f-d5f5-4620-9252-8e8b3b1abb46,PS110-000115,ПС 110 кВ Райково,ПС 110 кВ Райково,Substation
65a2361a96b9132bd04d7d2b,ca8424cf-975f-4a98-bec5-5641751b419c,PS110-000019,ПС 110 кВ Подсобное хозяйство,ПС 110 кВ Подсобное хозяйство,Substation
65a2361a96b9132bd04d7d2c,cbb351a8-2c16-425a-b312-03f3b0ae758e,PS110-000267,ПС 110 кВ Западная (А),ПС 110 кВ Западная,Substation
65a2361a96b9132bd04d7d2d,cc047c87-99a5-4964-b62e-8e7e7332268d,PS110-000370,ПС 110 кВ Весна,ПС 110 кВ Весна,Substation
65a2361a96b9132bd04d7d2e,cc1f4189-e9d1-4d85-895d-0ba9015f2019,PS110-000955,ПС 110 кВ Сибволокно,ПС 110 кВ Сибволокно,Substation
65a2361a96b9132bd04d7d2f,cc8b7dbb-c069-45da-83f2-993088c68f2b,PS110-000081,ПС 110 кВ Большой Луг,ПС 110 кВ Большой-Луг,Substation
65a2361a96b9132bd04d7d30,cda8518f-9181-4529-90d4-945e83460087,PS110-000007,ПС 110 кВ Турочакская,ПС 110кВ Турачакская,Substation
65a2361a96b9132bd04d7d31,cdb4a8a5-7862-49d7-aa67-3cead2446fe7,PS110-000434,ПС 110 кВ Ермаковская,ПС 110 кВ Ермаковская,Substation
65a2361a96b9132bd04d7d32,cdd61d8e-bfd4-4947-8f48-3f03ec239afa,PS110-001368,ПС 110 кВ Озерная,ПС 110 кВ Озерная,Substation
65a2361a96b9132bd04d7d33,cde1f657-c5c2-4da8-8a8a-d88b5b78ec54,PS110-000031,ПС 110 кВ Усть-Баргузин,ПС 110 кВ Усть-Баргузин,Substation
65a2361a96b9132bd04d7d34,cedce332-9240-48e7-b0fa-a68a1f8b56d7,PS110-000487,ПС 110 кВ Пионерская,ПС 110 кВ Пионерская,Substation
65a2361a96b9132bd04d7d35,cf38a6d4-71e1-41ce-9e1c-6625168b0713,PS110-000819,ПС 110 кВ Оловянная,ПС 110 кВ оловянная,Substation
65a2361a96b9132bd04d7d36,cf4fe684-1ac8-4a87-85c0-ff608ba0ddae,PS110-000068,ПС 110 кВ Георгиевская,ПС 110 кВ Георгиевская,Substation
65a2361a96b9132bd04d7d37,cfa25f18-98e0-424b-b2d8-ed69ded1b0c2,PS110-000076,ПС 110 кВ Бургултай,ПС 110 кВ Бургултай,Substation
65a2361a96b9132bd04d7d38,cfd62431-2e9b-47bf-9621-2cff7ad96a31,PS110-000145,ПС 110 кВ Совхозная,ПС 110 кВ Совхозная,Substation
